,Comapany_name,Rating,Sector,Domain,Employees,Age,Location
0,TCS,3.8,Public,IT Services & Consulting,1 Lakh+ Employees,56 years old,Mumbai +339 more
1,Accenture,4.0,Public,IT Services & Consulting,1 Lakh+ Employees,35 years old,Dublin +169 more
2,Cognizant,3.9,Forbes Global 2000,IT Services & Consulting,1 Lakh+ Employees,30 years old,Teaneck. New Jersey. +156 more
3,Wipro,3.8,Public,IT Services & Consulting,1 Lakh+ Employees,79 years old,Bangalore/Bengaluru +276 more
4,Capgemini,3.9,Public,IT Services & Consulting,1 Lakh+ Employees,57 years old,Paris +138 more
5,HDFC Bank,3.9,Public,Banking,1 Lakh+ Employees,30 years old,Mumbai +1527 more
6,ICICI Bank,4.0,Public,Banking,1 Lakh+ Employees,30 years old,Mumbai +1274 more
7,Infosys,3.8,Public,IT Services & Consulting,1 Lakh+ Employees,43 years old,Bengaluru/Bangalore +178 more
8,HCLTech,3.6,Public,IT Services & Consulting,1 Lakh+ Employees,33 years old,Noida +181 more
9,Tech Mahindra,3.7,Public,IT Services & Consulting,1 Lakh+ Employees,38 years old,Pune +262 more
10,Genpact,3.9,Public,IT Services & Consulting,1 Lakh+ Employees,27 years old,New York +107 more
11,Axis Bank,3.9,Public,Banking,50k-1 Lakh Employees,31 years old,Mumbai +1293 more
12,Teleperformance,3.6,Forbes Global 2000,BPO,50k-1 Lakh Employees,46 years old,Paris +180 more
13,Concentrix Corporation,3.9,Public,BPO,50k-1 Lakh Employees,41 years old,Fremont +112 more
14,Jio,4.0,Public,Telecom,50k-1 Lakh Employees,17 years old,Navi Mumbai +1170 more
15,Amazon,4.1,Public,Internet,1 Lakh+ Employees,30 years old,Seattle +436 more
16,IBM,4.1,Public,IT Services & Consulting,1 Lakh+ Employees,113 years old,Armonk +144 more
17,Larsen & Toubro Limited,4.0,Public,Engineering & Construction,10k-50k Employees,86 years old,Mumbai +632 more
18,Reliance Retail,3.9,None,None,None,None,None
19,HDB Financial Services,4.0,None,None,None,None,None
20,Vodafone Idea,4.2,Public,Telecom,5k-10k Employees,6 years old,Mumbai +639 more
21,BYJU'S,3.1,Indian Unicorn,EdTech,10k-50k Employees,13 years old,Bangalore +305 more
22,Kotak Mahindra Bank,3.8,Public,Banking,50k-1 Lakh Employees,21 years old,Mumbai +563 more
23,Deloitte,3.9,None,None,None,None,None
24,Reliance Industries,4.1,Public,Oil & Gas,1 Lakh+ Employees,47 years old,Hyderabad / Secunderabad +669 more
25,iEnergizer,4.6,None,None,None,None,None
26,Bharti Airtel,4.1,Public,Telecom,10k-50k Employees,29 years old,Hyderabad / Secunderabad +651 more
27,Tata Motors,4.2,Public,Automobile,10k-50k Employees,79 years old,Hyderabad / Secunderabad +453 more
28,Flipkart,4.1,Public,Internet,10k-50k Employees,17 years old,Hyderabad / Secunderabad +531 more
29,WNS,3.5,None,None,None,None,None
30,IndusInd Bank,3.7,Public,Banking,10k-50k Employees,30 years old,Hyderabad / Secunderabad +679 more
31,Ernst & Young,3.6,None,None,None,None,None
32,AU Small Finance Bank,4.5,Fortune India 500,Banking,10k-50k Employees,28 years old,Hyderabad / Secunderabad +401 more
33,Mahindra & Mahindra,4.2,Public,Automobile,1 Lakh+ Employees,79 years old,Hyderabad / Secunderabad +472 more
34,Infosys BPM,3.8,None,None,None,None,None
35,DXC Technology,3.8,Public,IT Services & Consulting,10k-50k Employees,7 years old,Hyderabad / Secunderabad +81 more
36,IDFC FIRST Bank,4.0,Public,Banking,10k-50k Employees,6 years old,Hyderabad / Secunderabad +575 more
37,Conneqt Business Solutions,3.7,None,None,None,None,None
38,HDFC Life,4.1,Public,Insurance,10k-50k Employees,24 years old,Hyderabad / Secunderabad +549 more
39,LTIMindtree,3.7,Public,IT Services & Consulting,50k-1 Lakh Employees,25 years old,Hyderabad / Secunderabad +51 more
40,Bajaj Finserv,4.0,Public,Financial Services,50k-1 Lakh Employees,17 years old,Pune +869 more
41,Mphasis,3.5,Public,IT Services & Consulting,10k-50k Employees,26 years old,Bangalore/Bengaluru +49 more
